108,1
108,2
108,3
108,4
108,5
108,6
108,7
109,1
109,2
109,3
109,4
109,5
112,1
112,3
112,5
112,6
112,7
113,1
113,4
116,1
116,2
116,3
116,4
116,5
117,1
117,4
117,6
117,7
120,1
120,2
120,3
120,4
120,5
120,6
120,7
121,1
121,2
121,3
121,4
121,5
124,1
124,3
124,5
125,1
125,4
128,6
128,7
129,1
129,7
132,1
132,2
132,3
132,4
132,5
133,2
133,4
133,6
136,1
136,3
136,5
137,1
137,2
137,3
137,4
137,5
140,7
141,6
141,7
144,1
144,4
144,6
144,7
145,1
145,2
145,3
145,4
145,5
145,6
145,7
148,1
148,2
148,3
148,4
148,5
148,6
148,7
152,1
152,2
152,3
152,4
152,5
153,1
153,2
153,3
153,4
153,5
153,6
153,7
156,1
156,2
156,3
156,4
156,5
157,1
157,4
157,5
160,1
160,2
160,3
160,4
160,5
160,6
160,7
161,6
161,7
165,6
165,7
203,1
203,2
203,3
203,4
203,5
204,1
204,2
204,3
204,4
204,5
205,1
205,4
206,1
206,3
206,5
206,7
242,1
242,2
242,3
242,4
242,5
242,6
242,7
249,1
249,2
249,3
249,4
249,5
249,6
249,7
294,1
294,2
294,3
294,4
294,5
294,6
294,7
295,1
295,2
295,3
295,4
295,5
300,1
300,3
300,5
300,7
333,3
333,5
333,6
333,7
502,1
502,2
502,3
502,4
502,5
502,6
502,7
508,1
508,2
508,3
508,4
508,5
508,1
508,3
565,5
565,6
565,7
565,1
565,4
565,1
565,2
567,3
567,4
567,5
567,1
567,4
567,6
567,7
583,1
583,2
583,3
583,4
598,5
598,6
598,7
598,1
598,2
598,3
598,4
603,5
603,1
603,3
603,5
606,1
606,4
609,6
609,7
610,1
610,7
612,1
612,2
612,3
612,4
613,5
613,2
613,4
613,6
615,1
615,3
615,5
616,1
616,2
616,3
616,4
618,5
618,7
619,6
619,7
621,1
621,4
621,6
621,7
624,1
624,2
624,3
624,4
625,5
625,6
625,7
625,1
625,2
625,3
625,4
627,5
627,6
627,7
628,1
628,2
628,3
628,4
630,5
630,1
630,2
630,3
630,4
633,5
633,6
633,7
633,1
633,2
633,3
633,4
636,5
636,1
636,4
636,5
639,1
639,2
639,3
639,4
642,5
642,6
642,7
642,6
642,7
645,6
645,7
648,1
648,2
648,3
648,4
651,5
651,1
651,2
651,3
651,4
654,5
654,1
654,4
657,1
657,3
657,5
657,7
658,1
658,2
658,3
658,4
660,5
660,6
660,7
660,1
660,2
660,3
660,4
661,5
661,6
661,7
661,1
661,2
661,3
661,4
663,5
663,6
663,7
663,1
663,2
663,3
663,4
664,5
664,1
664,3
664,5
664,7
666,3
666,5
666,6
666,7
667,1
667,2
667,3
667,4
667,5
667,6
667,7
669,1
669,2
669,3
669,4
669,5
670,1
670,3
670,5
672,1
672,4
673,6
673,7
675,1
675,7
676,1
676,2
676,3
676,4
676,5
678,2
678,4
678,6
681,1
681,3
681,5
684,1
684,2
684,3
684,4
684,5
687,7
690,6
690,7
693,1
693,4
693,6
693,7
696,1
696,2
696,3
696,4
696,5
696,6
696,7
802,1
802,2
802,3
802,4
802,5
802,6
802,7
805,1
805,2
805,3
805,4
805,5
806,1
806,2
806,3
806,4
806,5
806,6
806,7
809,1
809,2
809,3
809,4
809,5
810,1
810,4
810,5
813,1
813,2
813,3
813,4
813,5
813,6
813,7
814,6
814,7
817,6
817,7
818,1
818,2
818,3
818,4
818,5
821,1
821,2
821,3
821,4
821,5
822,1
822,4
825,1
825,3
825,5
825,7
826,1
826,2
826,3
826,4
826,5
826,6
826,7
829,1
829,2
829,3
829,4
829,5
829,6
829,7
830,1
830,2
830,3
830,4
830,5
830,6
830,7
833,1
833,2
833,3
833,4
833,5
834,1
834,3
834,5
834,7
837,3
837,5
837,6
837,7
838,1
838,2
838,3
838,4
838,5
838,6
838,7
841,1
841,2
841,3
841,4
841,5
841,1
841,3
842,5
842,6
842,7
842,1
842,4
842,1
842,2
845,3
845,4
845,5
845,1
845,4
845,6
845,7
846,1
846,2
846,3
846,4
849,5
849,6
849,7
849,1
849,2
849,3
849,4
850,5
850,1
850,3
850,5
853,1
853,4
854,6
854,7
857,1
857,7
858,1
858,2
858,3
858,4
861,5
861,2
861,4
861,6
862,1
862,3
862,5
1202,1
1202,2
1202,3
1202,4
1209,5
1209,7
1210,6
1210,7
1213,1
1213,4
1213,6
1213,7
1214,1
1214,2
1214,3
1214,4
1217,5
1217,6
1217,7
1217,1
1217,2
1217,3
1217,4
1218,5
1218,6
1218,7
1234,1
1234,2
1234,3
1234,4
1237,5
1237,1
1237,2
1237,3
1237,4
1238,5
1238,6
1238,7
1238,1
1238,2
1238,3
1238,4
1241,5
1241,1
1241,4
1241,5
1245,1
1245,2
1245,3
1245,4
1246,5
1246,6
1246,7
1246,6
1246,7
1250,6
1250,7
1253,1
1253,2
1253,3
1253,4
1253,5
1253,6
1253,7
1254,1
1254,2
1254,3
1254,4
1254,5
1257,1
1257,3
1257,5
1258,1
1258,4
1264,6
1264,7
1302,1
1302,7
1305,1
1305,2
1305,3
1305,4
1305,5
1307,2
1307,4
1307,6
1309,1
1309,3
1309,5
1318,1
1318,2
1318,3
1318,4
1318,5
1320,7
1321,6
1321,7
1326,1
1326,4
1326,6
1326,7
1327,1
1327,2
1327,3
1327,4
1327,5
1327,6
1327,7
1328,1
1328,2
1328,3
1328,4
1328,5
1328,6
1328,7
1504,1
1504,2
1504,3
